what,kind,bundleId,bundleVersion,description,time
error,log,,,"The variable activeWorkbenchWindow.activePerspective is not defined",1362874528947
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362874534744
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362874542940
error,log,,,"The variable activeWorkbenchWindow.activePerspective is not defined",1362874550103
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362874552868
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362874558751
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362874578474
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362874620654
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362874872983
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362874943305
error,log,,,"The variable activeWorkbenchWindow.activePerspective is not defined",1362874944153
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1362874947028
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362874947498
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362874947882
started,bundle,org.eclipse.wst.html.core,1.1.300.v200903120608,"org.eclipse.wst.html.core",1362874948106
started,bundle,org.eclipse.wst.css.core,1.1.301.v200910161432,"org.eclipse.wst.css.core",1362874948808
started,bundle,org.eclipse.wst.common.uriresolver,1.1.301.v200805140415,"org.eclipse.wst.common.uriresolver",1362874948826
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1362874949811
started,bundle,org.eclipse.wst.internet.cache,1.0.301.v200805140020,"org.eclipse.wst.internet.cache",1362874950117
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1362875068348
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1362875068372
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1362875068434
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1362875068462
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1362875068473
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1362875077388
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1362875077418
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1362875077456
error,log,,,"The variable activeWorkbenchWindow.activePerspective is not defined",1362875087727
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362875098248
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362875173810
error,log,,,"The variable activeWorkbenchWindow.activePerspective is not defined",1362875182378
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362875789583
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362875800787
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1362875808562
activated,view,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views.ContentOutline",1362875828508
